#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
6,Enphase Energy,San Francisco Bay Area,USA,North America,350,2023-12-18,10.0,3500,3150,Energy,Post-IPO,$116,2023,37.54827,-121.98857
14,Cruise,San Francisco Bay Area,USA,North America,900,2023-12-14,24.0,3750,2850,Transportation,Acquired,$15000,2023,37.77493,-122.41942
16,Bolt,San Francisco Bay Area,USA,North America,130,2023-12-14,29.0,450,320,Finance,Series E,$1300,2023,37.77493,-122.41942
20,Invitae,San Francisco Bay Area,USA,North America,235,2023-12-13,15.0,1567,1332,Healthcare,Post-IPO,2500,2023,37.77493,-122.41942
21,Etsy,New York City,USA,North America,225,2023-12-13,11.0,2045,1820,Retail,Post-IPO,$97,2023,40.71427,-74.00597
27,Chipper Cash,San Francisco Bay Area,USA,North America,15,2023-12-11,33.0,45,30,Finance,Series C,$302,2023,37.77493,-122.41942
31,Zulily,Seattle,USA,North America,839,2023-12-08,100.0,839,0,Retail,Acquired,$194,2023,47.60621,-122.33207
38,Navan,San Francisco Bay Area,USA,North America,145,2023-12-05,5.0,2900,2755,Finance,Unknown,2200,2023,37.44188,-122.14302
56,Unity,San Francisco Bay Area,USA,North America,265,2023-11-28,4.0,6625,6360,Other,Post-IPO,$1300,2023,37.77493,-122.41942
57,Dataminr,New York City,USA,North America,150,2023-11-28,20.0,750,600,AI,Series F,$1100,2023,40.71427,-74.00597
62,Our Next Energy,Detroit,USA,North America,128,2023-11-27,25.0,512,384,Transportation,Series B,$390,2023,42.33143,-83.04575
91,TripAdvisor,Boston,USA,North America,125,2023-11-12,4.0,3125,3000,Travel,Post-IPO,$3,2023,42.35843,-71.05977
110,Viasat,San Diego,USA,North America,800,2023-11-02,10.0,8000,7200,Other,Post-IPO,$366,2023,32.71571,-117.16472
111,Beyond Meat,Los Angeles,USA,North America,65,2023-11-02,8.0,813,748,Food,Post-IPO,$122,2023,34.05223,-118.24368
115,Splunk,San Francisco Bay Area,USA,North America,500,2023-11-01,7.0,7143,6643,Data,Post-IPO,$2400,2023,37.77493,-122.41942
116,Faire,San Francisco Bay Area,USA,North America,250,2023-11-01,20.0,1250,1000,Retail,Series G,$1700,2023,37.77493,-122.41942
117,Sana Benefits,Austin,USA,North America,73,2023-11-01,50.0,146,73,HR,Series B,$106,2023,30.26715,-97.74306
122,Hippo Insurance,San Francisco Bay Area,USA,North America,120,2023-10-26,20.0,600,480,Finance,Post-IPO,$1300,2023,37.44188,-122.14302
130,SiFive,San Francisco Bay Area,USA,North America,130,2023-10-24,20.0,650,520,Hardware,Series F,$365,2023,37.35411,-121.95524
135,Nomad Health,New York City,USA,North America,119,2023-10-20,17.0,700,581,Healthcare,Unknown,$218,2023,40.71427,-74.00597
138,Convoy,Seattle,USA,North America,500,2023-10-19,100.0,500,0,Logistics,Series E,$1100,2023,47.60621,-122.33207
139,Bullhorn,Boston,USA,North America,140,2023-10-19,9.0,1556,1416,Sales,Acquired,$32,2023,42.35843,-71.05977
151,LinkedIn,San Francisco Bay Area,USA,North America,660,2023-10-16,3.0,22000,21340,Recruiting,Acquired,$154,2023,37.36883,-122.03635
153,C2FO,Kansas City,USA,North America,80,2023-10-16,3.0,2667,2587,Finance,Series H,$537,2023,39.09973,-94.57857
162,Lending Club,San Francisco Bay Area,USA,North America,172,2023-10-12,14.0,1229,1057,Finance,Post-IPO,$392,2023,37.77493,-122.41942
163,MariaDB,San Francisco Bay Area,USA,North America,84,2023-10-12,28.0,300,216,Data,Post-IPO,$272,2023,37.48522,-122.23635
164,Deepgram,San Francisco Bay Area,USA,North America,20,2023-10-11,20.0,100,80,AI,Series B,$86,2023,37.77493,-122.41942
167,Carbon Health,San Francisco Bay Area,USA,North America,114,2023-10-09,5.0,2280,2166,Healthcare,Series D,$522,2023,37.77493,-122.41942
172,InvestCloud,Los Angeles,USA,North America,80,2023-10-06,5.0,1600,1520,Finance,Private Equity …,$54,2023,34.05223,-118.24368
179,SchoolMint,San Francisco Bay Area,USA,North America,29,2023-10-05,14.0,207,178,Education,Acquired,$8,2023,37.77493,-122.41942
183,Qualtrics,Salt Lake City,USA,North America,780,2023-10-04,14.0,5571,4791,Other,Post-IPO,$400,2023,40.76078,-111.89105
191,Chainalysis,New York City,USA,North America,150,2023-10-02,15.0,1000,850,Crypto,Series F,$536,2023,40.71427,-74.00597
192,Synapse,San Francisco Bay Area,USA,North America,86,2023-10-02,40.0,215,129,Finance,Series B,$50,2023,37.77493,-122.41942
193,Chia Network,San Francisco Bay Area,USA,North America,26,2023-10-02,37.0,70,44,Crypto,Series D,$70,2023,37.77493,-122.41942
196,Cowbell,San Francisco Bay Area,USA,North America,28,2023-09-29,12.0,233,205,Finance,Series B,$123,2023,37.66243,-121.87468
200,Epic Games,Raleigh,USA,North America,870,2023-09-28,16.0,5438,4568,Consumer,Unknown,6400,2023,35.7721,-78.63861
207,Flexe,Seattle,USA,North America,131,2023-09-26,33.0,397,266,Logistics,Series D,$263,2023,47.60621,-122.33207
209,Lucid Software,Salt Lake City,USA,North America,75,2023-09-25,7.0,1071,996,Other,Series E,$170,2023,40.76078,-111.89105
227,Airtable,San Francisco Bay Area,USA,North America,237,2023-09-14,27.0,878,641,Product,Series F,$1400,2023,37.77493,-122.41942
229,VideoAmp,Los Angeles,USA,North America,40,2023-09-14,10.0,400,360,Marketing,Series F,$456,2023,34.05223,-118.24368
233,Evolve,Denver,USA,North America,175,2023-09-12,20.0,875,700,Travel,Series F,$224,2023,39.73915,-104.9847
237,At-Bay,San Francisco Bay Area,USA,North America,27,2023-09-12,9.0,300,273,Security,Unknown,$296,2023,37.77493,-122.41942
239,Chargebee,San Francisco Bay Area,USA,North America,100,2023-09-11,10.0,1000,900,Finance,Series H,$468,2023,37.77493,-122.41942
241,Grabango,San Francisco Bay Area,USA,North America,34,2023-09-11,40.0,85,51,Food,Unknown,$94,2023,37.87159,-122.27275
247,Drift,Boston,USA,North America,100,2023-09-07,25.0,400,300,Marketing,Acquired,$107,2023,42.35843,-71.05977
249,Roku,San Francisco Bay Area,USA,North America,360,2023-09-06,10.0,3600,3240,Media,Post-IPO,$208,2023,37.33939,-121.89496
255,Absci,Portland,USA,North America,30,2023-09-05,15.0,200,170,Healthcare,Post-IPO,$238,2023,45.52345,-122.67621
256,Hodinkee,New York City,USA,North America,24,2023-09-05,20.0,120,96,Retail,Seed,$40,2023,40.71427,-74.00597
260,Nexar,New York City,USA,North America,17,2023-09-04,14.0,121,104,Transportation,Series D,$149,2023,40.71427,-74.00597
273,Zeplin,San Francisco Bay Area,USA,North America,37,2023-08-30,35.0,106,69,Product,Seed,$1,2023,37.77493,-122.41942
276,Zebra Technologies,Chicago,USA,North America,700,2023-08-28,7.0,10000,9300,Manufacturing,Post-IPO,2000,2023,41.85003,-87.65005
283,Captiv8,San Francisco Bay Area,USA,North America,8,2023-08-24,3.0,267,259,Marketing,Unknown,$4,2023,37.56299,-122.32553
285,Atlas,Chicago,USA,North America,150,2023-08-23,30.0,500,350,HR,Series B,$220,2023,41.85003,-87.65005
287,BlackLine,Los Angeles,USA,North America,95,2023-08-23,5.0,1900,1805,Finance,Post-IPO,$220,2023,34.05223,-118.24368
305,AppFolio,Santa Barbara,USA,North America,149,2023-08-17,9.0,1656,1507,Real Estate,Post-IPO,$30,2023,34.42083,-119.69819
311,SecureWorks,Atlanta,USA,North America,300,2023-08-14,15.0,2000,1700,Security,Post-IPO,$83,2023,33.749,-84.38798
320,Blend,San Francisco Bay Area,USA,North America,150,2023-08-09,19.0,789,639,Finance,Post-IPO,$665,2023,37.77493,-122.41942
328,Thoughtworks,Chicago,USA,North America,579,2023-08-08,5.0,11580,11001,Other,Post-IPO,$748,2023,41.85003,-87.65005
329,Rapid7,Boston,USA,North America,470,2023-08-08,18.0,2611,2141,Security,Post-IPO,$89,2023,42.35843,-71.05977
331,Doximity,San Francisco Bay Area,USA,North America,100,2023-08-08,10.0,1000,900,Healthcare,Post-IPO,$82,2023,37.77493,-122.41942
332,23andMe,San Francisco Bay Area,USA,North America,71,2023-08-08,11.0,645,574,Healthcare,Post-IPO,$1100,2023,37.77493,-122.41942
342,Discord,San Francisco Bay Area,USA,North America,37,2023-08-03,4.0,925,888,Consumer,Series H,$995,2023,37.77493,-122.41942
349,BetterUp,San Francisco Bay Area,USA,North America,100,2023-08-02,16.0,625,525,HR,Series E,$567,2023,37.77493,-122.41942
350,Augury,New York City,USA,North America,70,2023-08-02,18.0,389,319,Manufacturing,Series E,$274,2023,40.71427,-74.00597
362,Planet,San Francisco Bay Area,USA,North America,117,2023-08-01,10.0,1170,1053,Aerospace,Post-IPO,$574,2023,37.77493,-122.41942
364,Archipelago,San Francisco Bay Area,USA,North America,40,2023-08-01,30.0,133,93,Real Estate,Series B,$57,2023,37.77493,-122.41942
378,Wish,San Francisco Bay Area,USA,North America,255,2023-07-27,34.0,750,495,Retail,Post-IPO,$1600,2023,37.77493,-122.41942
379,Point,San Francisco Bay Area,USA,North America,61,2023-07-27,28.0,218,157,Real Estate,Series C,$149,2023,37.77493,-122.41942
381,Verbit,New York City,USA,North America,60,2023-07-27,6.0,1000,940,Data,Series E,$569,2023,40.71427,-74.00597
385,Figure,San Francisco Bay Area,USA,North America,90,2023-07-26,20.0,450,360,Crypto,Unknown,$1500,2023,37.77493,-122.41942
386,Calendly,Atlanta,USA,North America,60,2023-07-26,10.0,600,540,Other,Series B,$351,2023,33.749,-84.38798
389,Deep Instict,New York City,USA,North America,46,2023-07-25,15.0,307,261,Security,Unknown,$322,2023,40.71427,-74.00597
402,AgentSync,Denver,USA,North America,67,2023-07-19,24.0,279,212,Finance,Series B,$111,2023,39.73915,-104.9847
403,Inspirato,Denver,USA,North America,50,2023-07-19,6.0,833,783,Travel,Post-IPO,$179,2023,39.73915,-104.9847
404,Tilia,San Francisco Bay Area,USA,North America,28,2023-07-19,32.0,88,60,Finance,Unknown,$32,2023,37.77493,-122.41942
409,Sarcos,Salt Lake City,USA,North America,75,2023-07-17,25.0,300,225,Aerospace,Post-IPO,$316,2023,40.76078,-111.89105
415,PayScale,Seattle,USA,North America,14,2023-07-14,2.0,700,686,HR,Acquired,$33,2023,47.60621,-122.33207
422,Deepwatch,Tampa Bay,USA,North America,30,2023-07-13,7.0,429,399,Security,Series C,$256,2023,27.94752,-82.45843
433,Freightos,Miami,USA,North America,50,2023-07-12,13.0,385,335,Logistics,Post-IPO,$118,2023,25.77427,-80.19366
439,Matterport,San Francisco Bay Area,USA,North America,170,2023-07-11,30.0,567,397,Data,Post-IPO,$409,2023,37.36883,-122.03635
441,Sisense,New York City,USA,North America,100,2023-07-11,15.0,667,567,Data,Series F,$274,2023,40.71427,-74.00597
457,Perfect Day,San Francisco Bay Area,USA,North America,134,2023-07-06,15.0,893,759,Food,Series D,$711,2023,37.87159,-122.27275
459,TytoCare,New York City,USA,North America,20,2023-07-06,10.0,200,180,Healthcare,Series D,$156,2023,40.71427,-74.00597
473,Headspace,Los Angeles,USA,North America,181,2023-06-29,15.0,1207,1026,Healthcare,Unknown,$216,2023,34.05223,-118.24368
474,Artsy,New York City,USA,North America,35,2023-06-29,15.0,233,198,Retail,Series D,$100,2023,40.71427,-74.00597
483,ClickUp,San Diego,USA,North America,90,2023-06-28,10.0,900,810,Other,Series C,$537,2023,32.71571,-117.16472
486,Plex,San Francisco Bay Area,USA,North America,37,2023-06-28,20.0,185,148,Media,Unknown,$81,2023,37.38605,-122.08385
490,New Relic,San Francisco Bay Area,USA,North America,255,2023-06-27,10.0,2550,2295,Infrastructure,Post-IPO,$214,2023,37.77493,-122.41942
498,Robinhood,San Francisco Bay Area,USA,North America,150,2023-06-26,7.0,2143,1993,Finance,Post-IPO,$5600,2023,37.45383,-122.18219
499,Convoy,Seattle,USA,North America,30,2023-06-26,5.0,600,570,Logistics,Series E,$1100,2023,47.60621,-122.33207
504,Uber,San Francisco Bay Area,USA,North America,200,2023-06-21,0.9961647656522389,20077,19877,Transportation,Post-IPO,$25200,2023,37.77493,-122.41942
520,Pilot,San Francisco Bay Area,USA,North America,45,2023-06-16,13.0,346,301,Finance,Unknown,$116,2023,37.77493,-122.41942
523,CareRev,Los Angeles,USA,North America,100,2023-06-15,33.0,303,203,Healthcare,Series A,$51,2023,34.05223,-118.24368
528,Bitwise,Fresno,USA,North America,900,2023-06-14,100.0,900,0,Crypto,Series B,$84,2023,36.74773,-119.77237
529,Sonos,New York City,USA,North America,130,2023-06-14,7.0,1857,1727,Consumer,Post-IPO,$455,2023,40.71427,-74.00597
530,TrueCar,Los Angeles,USA,North America,102,2023-06-14,24.0,425,323,Transportation,Post-IPO,$340,2023,34.05223,-118.24368
531,Olo,New York City,USA,North America,81,2023-06-14,11.0,736,655,Food,Post-IPO,$184,2023,40.71427,-74.00597
537,Grubhub,San Francisco Bay Area,USA,North America,400,2023-06-12,15.0,2667,2267,Food,Acquired,$284,2023,37.77493,-122.41942
539,Pendo,Raleigh,USA,North America,100,2023-06-12,12.0,833,733,Product,Series F,$469,2023,35.7721,-78.63861
540,Chegg,San Francisco Bay Area,USA,North America,80,2023-06-12,4.0,2000,1920,Education,Post-IPO,$227,2023,37.35411,-121.95524
542,TaxBit,San Francisco Bay Area,USA,North America,80,2023-06-11,40.0,200,120,Crypto,Unknown,$253,2023,37.77493,-122.41942
545,23andMe,San Francisco Bay Area,USA,North America,75,2023-06-09,9.0,833,758,Healthcare,Post-IPO,$1100,2023,37.77493,-122.41942
546,Expel,Washington DC,USA,North America,60,2023-06-09,10.0,600,540,Security,Series E,$288,2023,38.89511,-77.03637
548,Cityblock Health,New York City,USA,North America,155,2023-06-08,12.0,1292,1137,Healthcare,Series D,$891,2023,40.71427,-74.00597
549,Highspot,Seattle,USA,North America,140,2023-06-08,15.0,933,793,Sales,Series F,$644,2023,47.60621,-122.33207
561,Edgio,Phoenix,USA,North America,134,2023-06-06,12.0,1117,983,Infrastructure,Post-IPO,$462,2023,33.44838,-112.07404
562,Reddit,San Francisco Bay Area,USA,North America,90,2023-06-06,5.0,1800,1710,Consumer,Series F,$1300,2023,37.77493,-122.41942
564,Dragos,Baltimore,USA,North America,50,2023-06-06,9.0,556,506,Security,Series D,$364,2023,39.29038,-76.61219
578,Outbrain,New York City,USA,North America,90,2023-06-01,10.0,900,810,Marketing,Post-IPO,$394,2023,40.71427,-74.00597
584,Zendesk,San Francisco Bay Area,USA,North America,320,2023-05-31,8.0,4000,3680,Support,Acquired,$85,2023,37.77493,-122.41942
585,ZipRecruiter,Los Angeles,USA,North America,270,2023-05-31,20.0,1350,1080,Recruiting,Post-IPO,$769,2023,34.05223,-118.24368
586,Vendr,Boston,USA,North America,100,2023-05-31,25.0,400,300,Other,Series B,$216,2023,42.35843,-71.05977
588,Mux,San Francisco Bay Area,USA,North America,40,2023-05-31,30.0,133,93,Infrastructure,Series D,$173,2023,37.77493,-122.41942
589,Away,New York City,USA,North America,22,2023-05-31,8.0,275,253,Retail,Series D,$181,2023,40.71427,-74.00597
595,Evolve,Denver,USA,North America,164,2023-05-29,14.0,1171,1007,Travel,Series F,$224,2023,39.73915,-104.9847
596,Project44,Chicago,USA,North America,130,2023-05-26,10.0,1300,1170,Logistics,Unknown,$817,2023,41.85003,-87.65005
602,Guild,Denver,USA,North America,172,2023-05-24,12.0,1433,1261,Education,Series F,$643,2023,39.73915,-104.9847
618,Pie Insurance,Washington DC,USA,North America,63,2023-05-18,14.0,450,387,Finance,Series D,$621,2023,38.89511,-77.03637
624,Stash,New York City,USA,North America,40,2023-05-17,10.0,400,360,Finance,Unknown,$480,2023,40.71427,-74.00597
628,Lemonade,New York City,USA,North America,45,2023-05-16,3.0,1500,1455,Finance,Post-IPO,$481,2023,40.71427,-74.00597
632,Nuro,San Francisco Bay Area,USA,North America,340,2023-05-12,30.0,1133,793,Transportation,Series D,$2100,2023,37.38605,-122.08385
644,Similarweb,New York City,USA,North America,60,2023-05-10,6.0,1000,940,Other,Post-IPO,$235,2023,40.71427,-74.00597
645,Stack Overflow,New York City,USA,North America,58,2023-05-10,10.0,580,522,Recruiting,Acquired,$153,2023,40.71427,-74.00597
646,Akamai,Boston,USA,North America,290,2023-05-09,3.0,9667,9377,Security,Post-IPO,$35,2023,42.35843,-71.05977
647,Sonatype,Baltimore,USA,North America,100,2023-05-09,14.0,714,614,Security,Acquired,$154,2023,39.29038,-76.61219
651,LinkedIn,San Francisco Bay Area,USA,North America,716,2023-05-08,4.0,17900,17184,Recruiting,Acquired,$154,2023,37.36883,-122.03635
656,Twist Bioscience,San Francisco Bay Area,USA,North America,270,2023-05-05,25.0,1080,810,Healthcare,Post-IPO,$503,2023,37.77493,-122.41942
661,Sabre,Dallas,USA,North America,1100,2023-05-04,15.0,7333,6233,Travel,Post-IPO,1770,2023,32.78306,-96.80667
663,Autograph,Los Angeles,USA,North America,30,2023-05-04,33.0,91,61,Crypto,Series B,$205,2023,34.05223,-118.24368
667,Unity,San Francisco Bay Area,USA,North America,600,2023-05-03,8.0,7500,6900,Other,Post-IPO,$1300,2023,37.77493,-122.41942
668,Upwork,San Francisco Bay Area,USA,North America,137,2023-05-03,15.0,913,776,Other,Post-IPO,$168,2023,37.77493,-122.41942
670,Brightcove,Boston,USA,North America,70,2023-05-03,10.0,700,630,Marketing,Post-IPO,$145,2023,42.35843,-71.05977
673,TheSkimm,New York City,USA,North America,22,2023-05-03,13.0,169,147,Media,Series C,$28,2023,40.71427,-74.00597
675,Bishop Fox,Phoenix,USA,North America,50,2023-05-02,13.0,385,335,Security,Series B,$146,2023,33.44838,-112.07404
683,Cue Health,San Diego,USA,North America,326,2023-04-28,30.0,1087,761,Healthcare,Post-IPO,$899,2023,32.71571,-117.16472
688,Dropbox,San Francisco Bay Area,USA,North America,500,2023-04-27,16.0,3125,2625,Other,Post-IPO,$1700,2023,37.77493,-122.41942
689,Alteryx,Los Angeles,USA,North America,320,2023-04-27,11.0,2909,2589,Data,Post-IPO,$613,2023,34.05223,-118.24368
690,Vroom,New York City,USA,North America,120,2023-04-27,11.0,1091,971,Transportation,Post-IPO,$1300,2023,40.71427,-74.00597
691,Greenhouse,New York City,USA,North America,100,2023-04-27,12.0,833,733,Recruiting,Private Equity …,$110,2023,40.71427,-74.00597
696,Chief,New York City,USA,North America,43,2023-04-27,14.0,307,264,Other,Series B,$140,2023,40.71427,-74.00597
701,Teampay,New York City,USA,North America,30,2023-04-26,33.0,91,61,Finance,Series B,$79,2023,40.71427,-74.00597
704,Rapid,San Francisco Bay Area,USA,North America,115,2023-04-25,50.0,230,115,Finance,Series D,$272,2023,37.77493,-122.41942
705,Rapid,San Francisco Bay Area,USA,North America,70,2023-04-25,30.0,233,163,Finance,Series D,$272,2023,37.77493,-122.41942
708,BigPanda,San Francisco Bay Area,USA,North America,40,2023-04-24,13.0,308,268,Infrastructure,Series E,$337,2023,37.48522,-122.23635
709,Lyft,San Francisco Bay Area,USA,North America,1072,2023-04-21,26.0,4123,3051,Transportation,Post-IPO,$4900,2023,37.77493,-122.41942
710,Benchling,San Francisco Bay Area,USA,North America,74,2023-04-21,9.0,822,748,Other,Series F,$411,2023,37.77493,-122.41942
712,BuzzFeed,New York City,USA,North America,180,2023-04-20,15.0,1200,1020,Media,Post-IPO,$696,2023,40.71427,-74.00597
715,Gloat,New York City,USA,North America,35,2023-04-20,12.0,292,257,HR,Series D,$192,2023,40.71427,-74.00597
720,WalkMe,San Francisco Bay Area,USA,North America,112,2023-04-19,10.0,1120,1008,Other,Post-IPO,$307,2023,37.77493,-122.41942
721,Opendoor,San Francisco Bay Area,USA,North America,560,2023-04-18,22.0,2545,1985,Real Estate,Post-IPO,$1900,2023,37.77493,-122.41942
724,TRM Labs,San Francisco Bay Area,USA,North America,16,2023-04-18,9.0,178,162,Crypto,Series B,$149,2023,37.77493,-122.41942
727,Clearcover,Chicago,USA,North America,81,2023-04-17,15.0,540,459,Finance,Series D,$304,2023,41.85003,-87.65005
734,Drip Capital,San Francisco Bay Area,USA,North America,75,2023-04-14,20.0,375,300,Finance,Series C,$85,2023,37.44188,-122.14302
735,Community Gami…,New York City,USA,North America,17,2023-04-14,17.0,100,83,Crypto,Series A,$18,2023,40.71427,-74.00597
739,Astronomer,Cincinnati,USA,North America,100,2023-04-13,40.0,250,150,Data,Series C,$282,2023,39.12711,-84.51439
744,Viasat,San Diego,USA,North America,300,2023-04-12,4.0,7500,7200,Other,Post-IPO,$366,2023,32.71571,-117.16472
748,Redfin,Seattle,USA,North America,201,2023-04-11,4.0,5025,4824,Real Estate,Post-IPO,$320,2023,47.60621,-122.33207
754,Flock Freight,San Diego,USA,North America,45,2023-04-10,8.0,563,518,Logistics,Series D,$399,2023,32.71571,-117.16472
755,Nori,Seattle,USA,North America,10,2023-04-10,37.0,27,17,Energy,Unknown,$13,2023,47.60621,-122.33207
758,Pear Therapeutics,Boston,USA,North America,170,2023-04-07,92.0,185,15,Healthcare,Post-IPO,$409,2023,42.35843,-71.05977
764,Amplitude,San Francisco Bay Area,USA,North America,99,2023-04-05,13.0,762,663,Data,Post-IPO,$311,2023,37.77493,-122.41942
769,Boost,New York City,USA,North America,15,2023-04-04,20.0,75,60,Finance,Series B,$37,2023,40.71427,-74.00597
772,View,San Francisco Bay Area,USA,North America,170,2023-04-03,23.0,739,569,Other,Post-IPO,$2300,2023,37.77493,-122.41942
773,Guideline,San Francisco Bay Area,USA,North America,48,2023-04-03,11.0,436,388,Finance,Series E,$339,2023,37.5841,-122.36608
774,Textio,Seattle,USA,North America,15,2023-04-03,12.0,125,110,Recruiting,Unknown,$42,2023,47.60621,-122.33207
